GUID 34ef39d117c94c2a8c5a727d6e6d289d


Type Melee
Useable Melee
Slot Any
ID 63902

Size_X 2
Size_Y 3
Size_Z 0.65
Size2_Z 0.6

Range 2.5
BladeID 2
Strength 4.0
Stamina 35

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 25
Resource_Damage 100
Object_Damage 25

Durability 0.15

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 63902
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 1198
Blueprint_2_Product 63902
Blueprint_2_Products 1
Blueprint_2_Build 27


Asset_Bundle_Version 3
